#X		Y		V
134		87		841
224		89		900
362		78		878
345		25		964
161		47		981
342		115		991
391		56		827
253		22		1004
121		102		1092
195		38		916
171		46		847
212		89		938
335		119		967
211		23		1094
373		53		922
311		61		964
147		88		853
157		82		844
123		79		1037
278		49		941
390		55		816
206		108		842
164		62		840
205		66		948
170		49		1090
301		26		850
229		68		893
254		104		823
266		60		956
308		51		976
126		59		944
338		57		1023
229		102		1018
315		53		841
304		78		939
306		97		830
321		106		973
272		44		1045
177		49		1070
112		117		1073
261		110		1086
267		75		836
231		94		1055
350		70		852
266		44		941
291		27		930
257		57		807
283		73		1087
209		29		1045
388		41		958
306		66		922
168		33		930
262		111		800
159		30		955
348		57		824
241		115		983
191		70		802
320		94		1036
148		41		896
284		88		899
153		54		981
138		38		999
227		108		800
293		48		967
207		103		848
117		30		821
309		34		813
151		55		916
119		69		1000
103		118		856
244		28		1024
102		109		1009
193		105		995
187		43		1043
348		23		1014
118		78		800
198		116		980
198		109		1081
172		77		909
392		58		1022
